name,Cov_bases,Query_Cov,Depth_Cov
BC-0345795864,24880,83.2024,3.12126
BC-0345795896,16960,56.7167,1.12758
BC-0345797185,28976,96.9,9.26492
BC-0345797312,22087,73.8622,1.96321
BC-0345797317,21872,73.1432,2.22496
BC-0345797602,26772,89.5295,4.41036
BC-0345797632,29697,99.3111,19.7605
BC-0345797636,28716,96.0305,6.86995
BC-0345797641,29784,99.602,22.7057
BC-0345797645,29853,99.8328,1383.92
BC-0345797686,21494,71.8791,1.76514
BC-0345797802,29844,99.8027,354.351
BC-0345797815,29796,99.6422,25.3028
BC-0345797817,29830,99.7559,45.3407
BC-0345797839,29741,99.4582,20.6993
BC-0345798087,29498,98.6456,11.1059
BC-0345798943,28370,94.8734,8.26128
BC-0345798991,29614,99.0335,30.8611
BC-0345799013,29659,99.184,26.8424
BC-0345799029,29774,99.5686,224.809
BC-0345807110,27077,90.5494,4.62318
BC-0361053712,18992,63.512,1.47928
BC-0361053718,29622,99.0603,24.9109
BC-0361053744,29777,99.5786,91.2455
BC-0361053753,10098,33.7692,0.481055
BC-0361054258,29840,99.7893,204.574
BC-0361054290,29797,99.6455,68.0866
BC-0361056946,29770,99.5552,71.6559
BC-0361057008,29020,97.0471,9.52383
BC-0361057023,28593,95.6192,6.95375
BC-0361057038,28838,96.4385,7.61121
BC-0361057076,29297,97.9734,9.38431
BC-0361057091,29760,99.5218,90.156
BC-0361078455,29789,99.6188,175.341
BC-0361078892,29809,99.6857,32.9062
BC-0361082863,29845,99.806,28.4898
